bairro,endereco,area,quartos,banheiros,vaga,aluguel,condominio,endereco_completo,latitude,longitude,aluguel_num
Centro,Avenida Cásper Líbero,50.0,2.0,1.0,0,R$ 1.500,R$ 700 Condominio,"Avenida Cásper Líbero, Centro, São Paulo, São Paulo, Brasil",-23.539054,-46.636087,1500.0
Centro,rua vitoria,42.0,1.0,1.0,0,R$ 1.500,R$ 500 Condominio,"rua vitoria, Centro, São Paulo, São Paulo, Brasil",-23.5373514,-46.6380855,1500.0
Sé,Rua Tabatinguera,24.0,1.0,1.0,0,R$ 1.500,R$ 500 Condominio,"Rua Tabatinguera, Sé, São Paulo, São Paulo, Brasil",-23.5524974,-46.6296068,1500.0
Vila Buarque,Rua Amaral Gurgel,30.0,1.0,1.0,0,R$ 1.500,R$ 352 Condominio,"Rua Amaral Gurgel, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5443915,-46.647709,1500.0
Sé,Rua Tabatinguera,24.0,1.0,1.0,0,R$ 1.500,R$ 500 Condominio,"Rua Tabatinguera, Sé, São Paulo, São Paulo, Brasil",-23.5524974,-46.6296068,1500.0
Santa Efigênia,Rua dos Andradas,30.0,1.0,1.0,0,R$ 1.500,,"Rua dos Andradas, Santa Efigênia, São Paulo, São Paulo, Brasil",-23.5376248,-46.6385392,1500.0
Santa Efigênia,Rua Aurora,40.0,1.0,1.0,0,R$ 1.500,R$ 280 Condominio,"Rua Aurora, Santa Efigênia, São Paulo, São Paulo, Brasil",-23.5390208,-46.6387669,1500.0
Centro,Rua dos Carmelitas,50.0,1.0,1.0,0,R$ 1.500,R$ 675 Condominio,"Rua dos Carmelitas, Centro, São Paulo, São Paulo, Brasil",-23.5512062,-46.6291981,1500.0
Vila Buarque,R. Amaral Gurgel - Vila Buarque São Paulo - Sp 01221-001 Brasil,30.0,,1.0,0,R$ 1.500,R$ 476 Condominio,"R. Amaral Gurgel - Vila Buarque São Paulo - Sp 01221-001 Brasil, Vila Buarque, São Paulo, São Paulo, Brasil",-23.54441,-46.64768000000001,1500.0
Centro,Rua Brigadeiro Tobias,42.0,1.0,1.0,0,R$ 1.500,R$ 520 Condominio,"Rua Brigadeiro Tobias, Centro, São Paulo, São Paulo, Brasil",-23.539384,-46.6350407,1500.0
Centro,Avenida Senador Queirós,38.0,1.0,1.0,0,R$ 1.500,R$ 777 Condominio,"Avenida Senador Queirós, Centro, São Paulo, São Paulo, Brasil",-23.5393987,-46.6327896,1500.0
Centro,Praça Carlos Gomes,37.0,1.0,1.0,0,R$ 1.500,R$ 325 Condominio,"Praça Carlos Gomes, Centro, São Paulo, São Paulo, Brasil",-23.5533344,-46.6357701,1500.0
Vila Buarque,Rua Santa Isabel,45.0,1.0,1.0,0,R$ 1.500,R$ 508 Condominio,"Rua Santa Isabel, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5427715,-46.6482353,1500.0
Vila Buarque,Rua Doutor Cesário Mota Júnior,25.0,1.0,1.0,0,R$ 1.500,R$ 390 Condominio,"Rua Doutor Cesário Mota Júnior, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5453759,-46.6489592,1500.0
Centro,Avenida Senador Queirós,20.0,1.0,1.0,0,R$ 1.500,R$ 550 Condominio,"Avenida Senador Queirós, Centro, São Paulo, São Paulo, Brasil",-23.5393987,-46.6327896,1500.0
Centro,Viaduto Dona Paulina,29.0,1.0,1.0,0,R$ 1.500,R$ 480 Condominio,"Viaduto Dona Paulina, Centro, São Paulo, São Paulo, Brasil",-23.5521441,-46.6363563,1500.0
Vila Buarque,Rua Amaral Gurgel,42.0,1.0,1.0,1,R$ 1.500,R$ 750 Condominio,"Rua Amaral Gurgel, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5443915,-46.647709,1500.0
Centro,Rua Major Quedinho,50.0,1.0,1.0,0,R$ 1.500,R$ 410 Condominio,"Rua Major Quedinho, Centro, São Paulo, São Paulo, Brasil",-23.5497655,-46.6430772,1500.0
Vila Buarque,Rua Frederico Abranches,53.0,1.0,1.0,0,R$ 1.500,R$ 465 Condominio,"Rua Frederico Abranches, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5398099,-46.6499741,1500.0
Centro,Rua Washington Luís 98,25.0,1.0,1.0,0,R$ 1.500,R$ 424 Condominio,"Rua Washington Luís 98, Centro, São Paulo, São Paulo, Brasil",-23.5377539,-46.6342368,1500.0
Centro,"R Avanhandava, 65",33.0,1.0,1.0,0,R$ 1.500,R$ 1.300 Condominio,"R Avanhandava, 65, Centro, São Paulo, São Paulo, Brasil",-23.5502603,-46.6448808,1500.0
Centro,"AV RIO BRANCO, 1658",40.0,1.0,1.0,1,R$ 1.500,R$ 900 Condominio,"AV RIO BRANCO, 1658, Centro, São Paulo, São Paulo, Brasil",-23.529866,-46.6467677,1500.0
Centro,Avenida Senador Queirós 6,33.0,1.0,1.0,0,R$ 1.500,R$ 350 Condominio,"Avenida Senador Queirós 6, Centro, São Paulo, São Paulo, Brasil",-23.5390569,-46.6358111,1500.0
Vila Buarque,Doutor Cesário Mota Júnior,30.0,1.0,1.0,0,R$ 1.500,R$ 627 Condominio,"Doutor Cesário Mota Júnior, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5453759,-46.6489592,1500.0
